,support,itemsets
29,0.14903830869496107,frozenset({'Water Bottle - 30 oz.'})
0,0.10751867747575902,frozenset({'AWC Logo Cap'})
42,0.10662851692894611,frozenset({'Patch Kit/8 Patches'})
47,0.09839453187092673,frozenset({'Mountain Tire Tube'})
1,0.09823557463042441,"frozenset({'Sport-100 Helmet, Blue'})"
11,0.09801303449372119,"frozenset({'Sport-100 Helmet, Red'})"
5,0.09559688443808616,"frozenset({'Sport-100 Helmet, Black'})"
45,0.07553648068669527,frozenset({'Road Tire Tube'})
53,0.06742966142107773,frozenset({'Fender Set - Mountain'})
44,0.06437768240343347,frozenset({'Mountain Bottle Cage'})
43,0.054426959147989194,frozenset({'Road Bottle Cage'})
113,0.053791130185979974,"frozenset({'Mountain Bottle Cage', 'Water Bottle - 30 oz.'})"
6,0.051979017644253694,"frozenset({'Long-Sleeve Logo Jersey, L'})"
112,0.04835479256080114,"frozenset({'Road Bottle Cage', 'Water Bottle - 30 oz.'})"
49,0.047305674773485934,frozenset({'Touring Tire Tube'})
48,0.04438086154824352,frozenset({'HL Mountain Tire'})
30,0.042187251629311716,frozenset({'Bike Wash - Dissolver'})
13,0.03980289302177714,"frozenset({'Mountain-200 Black, 38'})"
2,0.03872198378636147,"frozenset({'Long-Sleeve Logo Jersey, M'})"
14,0.03741853441424257,"frozenset({'Mountain-200 Black, 42'})"
93,0.03725957717374027,"frozenset({'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})"
54,0.03690987124463519,frozenset({'ML Mountain Tire'})
15,0.034779844221904305,"frozenset({'Mountain-200 Silver, 38'})"
16,0.03452551263710062,"frozenset({'Half-Finger Gloves, M'})"
3,0.03420759815609601,"frozenset({'Long-Sleeve Logo Jersey, XL'})"
31,0.03414401525989509,frozenset({'Hydration Pack - 70 oz.'})
26,0.03366714353838817,"frozenset({'Mountain-200 Black, 46'})"
17,0.03350818629788587,"frozenset({'Mountain-200 Silver, 46'})"
51,0.03319027181688126,frozenset({'LL Road Tire'})
18,0.03306310602447941,"frozenset({'Mountain-200 Silver, 42'})"
56,0.03239548561436974,"frozenset({'AWC Logo Cap', 'Water Bottle - 30 oz.'})"
57,0.03214115402956605,"frozenset({'Sport-100 Helmet, Blue', 'AWC Logo Cap'})"
85,0.03140995072325545,"frozenset({'Sport-100 Helmet, Black', 'AWC Logo Cap'})"
115,0.030424415832141154,"frozenset({'HL Mountain Tire', 'Mountain Tire Tube'})"
108,0.030360832935940232,"frozenset({'Sport-100 Helmet, Red', 'AWC Logo Cap'})"
50,0.029725003973931012,frozenset({'Touring Tire'})
52,0.029438880941026865,frozenset({'ML Road Tire'})
94,0.02877126053091718,"frozenset({'Sport-100 Helmet, Blue', 'Long-Sleeve Logo Jersey, L'})"
32,0.028739469082816722,"frozenset({'Short-Sleeve Classic Jersey, XL'})"
27,0.028071848672707043,"frozenset({'Half-Finger Gloves, S'})"
95,0.027976474328405658,"frozenset({'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L'})"
55,0.02740422826259736,frozenset({'LL Mountain Tire'})
46,0.027277062470195516,frozenset({'HL Road Tire'})
86,0.02695914798919091,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black'})"
96,0.026577650611985377,"frozenset({'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, L'})"
97,0.02638690192338261,"frozenset({'Sport-100 Helmet, Blue', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})"
98,0.026037195994277538,"frozenset({'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})"
116,0.02568749006517247,"frozenset({'Touring Tire Tube', 'Touring Tire'})"
99,0.02565569861707201,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L'})"
33,0.025592115720871087,"frozenset({'Short-Sleeve Classic Jersey, L'})"
89,0.025560324272770624,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black', 'AWC Logo Cap'})"
34,0.025305992687966936,frozenset({'Hitch Rack - 4-Bike'})
109,0.025210618343665555,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red'})"
87,0.025178826895565092,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black'})"
114,0.024956286758861867,"frozenset({'Patch Kit/8 Patches', 'Mountain Tire Tube'})"
100,0.024829120966460023,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})"
117,0.024670163725957716,"frozenset({'ML Mountain Tire', 'Mountain Tire Tube'})"
90,0.024320457796852647,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black'})"
101,0.024320457796852647,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, L'})"
103,0.024256874900651725,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L'})"
102,0.024225083452551265,"frozenset({'Sport-100 Helmet, Red', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})"
91,0.02406612621204896,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'AWC Logo Cap'})"
111,0.024002543315848036,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'AWC Logo Cap'})"
59,0.023557463042441582,"frozenset({'AWC Logo Cap', 'Long-Sleeve Logo Jersey, M'})"
107,0.023557463042441582,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L'})"
105,0.023430297250039738,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})"
104,0.023366714353838816,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L'})"
92,0.023334922905738357,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'AWC Logo Cap'})"
60,0.02317596566523605,"frozenset({'Sport-100 Helmet, Blue', 'Long-Sleeve Logo Jersey, M'})"
19,0.023048799872834206,"frozenset({'Road-550-W Yellow, 38'})"
20,0.022985216976633284,"frozenset({'Road-550-W Yellow, 48'})"
35,0.02279446828803052,"frozenset({'Short-Sleeve Classic Jersey, S'})"
61,0.02279446828803052,"frozenset({'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, M'})"
106,0.02276267683993006,"frozenset({'Sport-100 Helmet, Blue', 'Long-Sleeve Logo Jersey, L', 'AWC Logo Cap', 'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black'})"
88,0.022699093943729137,"frozenset({'Sport-100 Helmet, Black', 'Water Bottle - 30 oz.'})"
21,0.022635511047528215,"frozenset({'Road-250 Black, 48'})"
62,0.022603719599427755,"frozenset({'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, M'})"
36,0.02247655380702591,"frozenset({""Women's Mountain Shorts, L""})"
22,0.02241297091082499,"frozenset({'Road-250 Black, 44'})"
58,0.02241297091082499,"frozenset({'Sport-100 Helmet, Blue', 'Water Bottle - 30 oz.'})"
110,0.022285805118423145,"frozenset({'Sport-100 Helmet, Red', 'Water Bottle - 30 oz.'})"
7,0.022254013670322682,"frozenset({'Road-650 Black, 52'})"
39,0.02212684787792084,"frozenset({'Road-750 Black, 52'})"
23,0.02184072484501669,"frozenset({'Road-550-W Yellow, 40'})"
40,0.02177714194881577,"frozenset({'Road-750 Black, 48'})"
4,0.021745350500715306,"frozenset({'Road-650 Red, 44'})"
37,0.021681767604514384,"frozenset({'Classic Vest, S'})"
41,0.021649976156413925,"frozenset({""Women's Mountain Shorts, M""})"
8,0.02149101891591162,"frozenset({'Road-650 Red, 60'})"
28,0.021395644571610237,"frozenset({'Half-Finger Gloves, L'})"
63,0.021363853123509777,"frozenset({'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
24,0.02120489588300747,"frozenset({'Road-250 Black, 52'})"
65,0.020950564298203782,"frozenset({'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, M'})"
64,0.020918772850103323,"frozenset({'Sport-100 Helmet, Blue', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, M'})"
68,0.02079160705770148,"frozenset({'Sport-100 Helmet, Red', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, M'})"
69,0.020759815609601016,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, M'})"
73,0.020759815609601016,"frozenset({'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
66,0.020728024161500557,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, M'})"
74,0.020728024161500557,"frozenset({'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
70,0.020728024161500557,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, M'})"
76,0.020696232713400094,"frozenset({'Sport-100 Helmet, Blue', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
75,0.020696232713400094,"frozenset({'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
38,0.020600858369098713,"frozenset({""Women's Mountain Shorts, S""})"
25,0.020600858369098713,"frozenset({'Road-550-W Yellow, 42'})"
9,0.02056906692099825,"frozenset({'Road-650 Red, 48'})"
83,0.02047369257669687,"frozenset({'Long-Sleeve Logo Jersey, XL', 'AWC Logo Cap'})"
10,0.02025115243999364,"frozenset({'Road-650 Black, 58'})"
77,0.02021936099189318,"frozenset({'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
80,0.02015577809569226,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
78,0.020123986647591796,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
12,0.020123986647591796,"frozenset({'Road-650 Red, 62'})"
71,0.020123986647591796,"frozenset({'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, M'})"
67,0.020092195199491337,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Black', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, M'})"
72,0.020060403751390878,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'Sport-100 Helmet, Black', 'Long-Sleeve Logo Jersey, M'})"
81,0.020060403751390878,"frozenset({'Sport-100 Helmet, Blue', 'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
82,0.020060403751390878,"frozenset({'Sport-100 Helmet, Blue', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
79,0.020060403751390878,"frozenset({'Sport-100 Helmet, Red', 'AWC Logo Cap', 'Long-Sleeve Logo Jersey, L', 'Long-Sleeve Logo Jersey, M'})"
84,0.020028612303290415,"frozenset({'Sport-100 Helmet, Red', 'Long-Sleeve Logo Jersey, XL'})"
